GISJOIN,AREANAME,PopTotal,White,NonWhite,WhiteNative,Black,MedHouseValue,MedGrossRent
G17003100327,STCTY-17031 TRACT-    0327     IN CHICAGO IL,"7205","7202","3","6005","0","5368",50.44
G17003100328,STCTY-17031 TRACT-    0328     IN CHICAGO IL,"3160","3156","4","2578","0","5040",46.14
G17003100329,STCTY-17031 TRACT-    0329     IN CHICAGO IL,"1026","1026","0","823","0","4121",37.45
G17003100330,STCTY-17031 TRACT-    0330     IN CHICAGO IL,"6448","6442","6","5208","0","4140",44.83
G17003100331,STCTY-17031 TRACT-    0331     IN CHICAGO IL,"5226","5225","1","4451","0","5652",45.88
G17003100332,STCTY-17031 TRACT-    0332     IN CHICAGO IL,"6217","6217","0","5184","0","3842",45.86
G17003100333,STCTY-17031 TRACT-    0333     IN CHICAGO IL,"1964","1958","6","1598","6","4155",42.89
G17003100334,STCTY-17031 TRACT-    0334     IN CHICAGO IL,"6416","6413","3","5645","0","4711",43.94
G17003100335,STCTY-17031 TRACT-    0335     IN CHICAGO IL,"5709","5702","7","4964","7","4634",44.69
G17003100336,STCTY-17031 TRACT-    0336     IN CHICAGO IL,"5658","5655","3","4602","1","3684",37.41
G17003100337,STCTY-17031 TRACT-    0337     IN CHICAGO IL,"3708","3694","14","2984","12","2926",32.91
G17003100338,STCTY-17031 TRACT-    0338     IN CHICAGO IL,"7672","7668","4","6749","3","6418",50.5
G17003100339,STCTY-17031 TRACT-    0339     IN CHICAGO IL,"8598","8587","11","7367","10","5713",47.2
G17003100340,STCTY-17031 TRACT-    0340     IN CHICAGO IL,"10841","10835","6","9397","5","3786",42.78
G17003100341,STCTY-17031 TRACT-    0341     IN CHICAGO IL,"11078","11068","10","8807","9","4948",51.76
G17003100342,STCTY-17031 TRACT-    0342     IN CHICAGO IL,"3364","3364","0","2733","0","5690",43.61
G17003100343,STCTY-17031 TRACT-    0343     IN CHICAGO IL,"11029","11012","17","9198","7","3802",44.3
G17003100344,STCTY-17031 TRACT-    0344     IN CHICAGO IL,"2296","2296","0","1848","0","3527",34.05
G17003100345,STCTY-17031 TRACT-    0345     IN CHICAGO IL,"3245","3244","1","2851","0","3122",44.28
G17003100346,STCTY-17031 TRACT-    0346     IN CHICAGO IL,"3743","3742","1","3128","1","3344",36.19
G17003100347,STCTY-17031 TRACT-    0347     IN CHICAGO IL,"3666","3660","6","3115","6","3262",37.7
G17003100348,STCTY-17031 TRACT-    0348     IN CHICAGO IL,"4450","4440","10","3453","2","3408",42.22
G17003100349,STCTY-17031 TRACT-    0349     IN CHICAGO IL,"6376","6374","2","5048","1","2956",42.05
G17003100350,STCTY-17031 TRACT-    0350     IN CHICAGO IL,"6324","6321","3","4866","0","2823",38.9
G17003100351,STCTY-17031 TRACT-    0351     IN CHICAGO IL,"3294","3287","7","2691","1","0",34.46
G17003100352,STCTY-17031 TRACT-    0352     IN CHICAGO IL,"7025","7006","19","4853","7","3474",52.33
G17003100353,STCTY-17031 TRACT-    0353     IN CHICAGO IL,"6555","6553","2","4951","2","3066",40.55
G17003100354,STCTY-17031 TRACT-    0354     IN CHICAGO IL,"3769","3765","4","2679","4","2342",42.75
G17003100355,STCTY-17031 TRACT-    0355     IN CHICAGO IL,"2193","2186","7","1828","7","2728",36.4
G17003100356,STCTY-17031 TRACT-    0356     IN CHICAGO IL,"1230","1226","4","875","1","0",41.33
G17003100357,STCTY-17031 TRACT-    0357     IN CHICAGO IL,"1769","1758","11","1480","5","0",40.66
G17003100358,STCTY-17031 TRACT-    0358     IN CHICAGO IL,"4220","4220","0","3640","0","2867",31.8
G17003100359,STCTY-17031 TRACT-    0359     IN CHICAGO IL,"4488","3743","745","3211","742","1831",27.3
G17003100360,STCTY-17031 TRACT-    0360     IN CHICAGO IL,"2371","472","1899","404","1892","0",26.86
G17003100361,STCTY-17031 TRACT-    0361     IN CHICAGO IL,"1128","815","313","719","308","0",27
G17003100362,STCTY-17031 TRACT-    0362     IN CHICAGO IL,"3170","3141","29","2663","10","1900",26.38
G17003100363,STCTY-17031 TRACT-    0363     IN CHICAGO IL,"3093","3090","3","1990","3","3620",45.47
G17003100364,STCTY-17031 TRACT-    0364     IN CHICAGO IL,"2521","2521","0","1745","0","2792",39.22
G17003100365,STCTY-17031 TRACT-    0365     IN CHICAGO IL,"3132","3130","2","2207","2","2636",39.04
G17003100366,STCTY-17031 TRACT-    0366     IN CHICAGO IL,"3848","3841","7","2756","7","2223",32.25
G17003100367,STCTY-17031 TRACT-    0367     IN CHICAGO IL,"3504","3504","0","2526","0","2102",30.57
G17003100368,STCTY-17031 TRACT-    0368     IN CHICAGO IL,"7575","7560","15","5877","5","3128",36.79
G17003100369,STCTY-17031 TRACT-    0369     IN CHICAGO IL,"4737","4732","5","3706","1","2724",34.77
G17003100370,STCTY-17031 TRACT-    0370     IN CHICAGO IL,"1675","1674","1","1462","1","0",26.39
G17003100371,STCTY-17031 TRACT-    0371     IN CHICAGO IL,"1726","1719","7","1469","0","0",23.75
G17003100372,STCTY-17031 TRACT-    0372     IN CHICAGO IL,"5469","5457","12","4498","5","1815",29.75
G17003100373,STCTY-17031 TRACT-    0373     IN CHICAGO IL,"5443","5418","25","4479","1","2250",27.83
G17003100374,STCTY-17031 TRACT-    0374     IN CHICAGO IL,"538","538","0","416","0","0",0
G17003100375,STCTY-17031 TRACT-    0375     IN CHICAGO IL,"1959","1959","0","1462","0","0",29.2
G17003100376,STCTY-17031 TRACT-    0376     IN CHICAGO IL,"1654","96","1558","80","1557","0",25.75
G17003100377,STCTY-17031 TRACT-    0377     IN CHICAGO IL,"4211","673","3538","554","3537","2145",25.71
G17003100378,STCTY-17031 TRACT-    0378     IN CHICAGO IL,"3454","906","2548","765","2501","0",22.31
G17003100379,STCTY-17031 TRACT-    0379     IN CHICAGO IL,"858","292","566","252","565","0",27.07
G17003100380,STCTY-17031 TRACT-    0380     IN CHICAGO IL,"454","198","256","157","255","0",20.19
G17003100381,STCTY-17031 TRACT-    0381     IN CHICAGO IL,"610","552","58","474","55","0",11.58
G17003100382,STCTY-17031 TRACT-    0382     IN CHICAGO IL,"3205","3139","66","2664","39","2000",26.63
G17003100383,STCTY-17031 TRACT-    0383     IN CHICAGO IL,"1762","1744","18","1515","16","0",19.25
G17003100384,STCTY-17031 TRACT-    0384     IN CHICAGO IL,"1311","1281","30","1128","23","0",21.73
G17003100385,STCTY-17031 TRACT-    0385     IN CHICAGO IL,"323","17","306","12","306","0",0
G17003100386,STCTY-17031 TRACT-    0386     IN CHICAGO IL,"502","1","501","1","501","0",26.5
G17003100387,STCTY-17031 TRACT-    0387     IN CHICAGO IL,"170","4","166","4","166","0",0
G17003100388,STCTY-17031 TRACT-    0388     IN CHICAGO IL,"1047","1021","26","853","0","0",22.65
G17003100389,STCTY-17031 TRACT-    0389     IN CHICAGO IL,"663","661","2","527","1","0",25.67
G17003100390,STCTY-17031 TRACT-    0390     IN CHICAGO IL,"3097","3096","1","2565","0","2280",23.12
G17003100391,STCTY-17031 TRACT-    0391     IN CHICAGO IL,"206","206","0","147","0","0",0
G17003100392,STCTY-17031 TRACT-    0392     IN CHICAGO IL,"2300","2300","0","1706","0","0",29.97
G17003100393,STCTY-17031 TRACT-    0393     IN CHICAGO IL,"1891","1891","0","1384","0","2285",24.44
G17003100394,STCTY-17031 TRACT-    0394     IN CHICAGO IL,"733","642","91","508","91","0",0
G17003100395,STCTY-17031 TRACT-    0395     IN CHICAGO IL,"2095","2076","19","1683","19","2034",22.71
G17003100396,STCTY-17031 TRACT-    0396     IN CHICAGO IL,"936","936","0","671","0","0",23.34
